                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.17111,                0.16836,                0.77943,                0.99749,                0.99464,                0.99477,                0.99465,                   0.11,                0.09495,                0.74505,               0.004324,               0.004324,               0.004324
                     88,                0.17076,                0.17263,                 0.7797,                0.99783,                0.99424,                0.99478,                0.99451,                0.10989,                0.09514,                0.74524,               0.004258,               0.004258,               0.004258
                     89,                0.17067,                0.16986,                0.78002,                0.99795,                0.99399,                0.99473,                0.99452,                0.10943,                0.09456,                0.74529,               0.004192,               0.004192,               0.004192
                     90,                0.17052,                0.16885,                0.78092,                0.99769,                0.99451,                0.99474,                0.99458,                    inf,                0.09411,                0.74476,               0.004126,               0.004126,               0.004126
                     91,                0.16965,                0.16799,                0.77974,                0.99817,                0.99454,                 0.9948,                0.99462,                0.10758,                0.09221,                0.74482,                0.00406,                0.00406,                0.00406
                     92,                0.17016,                0.16793,                0.77995,                0.99826,                0.99444,                0.99481,                0.99466,                    inf,                0.09076,                0.74459,               0.003994,               0.003994,               0.003994
                     93,                0.16866,                 0.1669,                0.77875,                0.99771,                0.99506,                0.99486,                 0.9947,                0.10771,                0.09354,                0.74487,               0.003928,               0.003928,               0.003928
                     94,                0.16992,                0.16555,                0.77942,                0.99789,                0.99432,                0.99488,                0.99473,                0.10703,                0.09111,                0.74461,               0.003862,               0.003862,               0.003862
                     95,                0.16781,                0.16423,                0.77908,                0.99811,                0.99496,                0.99485,                0.99469,                0.10671,                0.09012,                0.74464,               0.003796,               0.003796,               0.003796
                     96,                0.16717,                0.16382,                0.78002,                0.99784,                0.99495,                0.99478,                0.99463,                0.10608,                0.08968,                 0.7444,                0.00373,                0.00373,                0.00373
                     97,                0.16741,                0.16251,                 0.7797,                0.99788,                0.99545,                0.99483,                0.99469,                0.10581,                0.08863,                0.74422,               0.003664,               0.003664,               0.003664
                     98,                 0.1672,                0.16211,                0.77956,                0.99814,                0.99533,                0.99476,                0.99462,                0.10601,                0.08895,                0.74418,               0.003598,               0.003598,               0.003598
                     99,                0.16644,                0.16037,                0.77888,                 0.9978,                0.99493,                0.99477,                0.99463,                0.10511,                0.08803,                0.74402,               0.003532,               0.003532,               0.003532
                    100,                0.16531,                0.15981,                0.77913,                0.99816,                0.99473,                0.99451,                 0.9944,                0.10542,                0.08983,                0.74413,               0.003466,               0.003466,               0.003466
                    101,                0.16558,                0.15985,                0.77894,                0.99809,                0.99496,                0.99471,                 0.9946,                    inf,                0.09086,                0.74394,                 0.0034,                 0.0034,                 0.0034
                    102,                0.16579,                0.15759,                0.77915,                0.99835,                0.99503,                0.99481,                0.99468,                0.10407,                0.08815,                0.74398,               0.003334,               0.003334,               0.003334
                    103,                0.16574,                0.15974,                0.77904,                0.99838,                0.99497,                0.99485,                 0.9947,                 0.1046,                 0.0874,                0.74401,               0.003268,               0.003268,               0.003268
                    104,                0.16529,                0.15672,                0.78035,                0.99811,                0.99482,                0.99484,                0.99473,                0.10386,                0.08768,                0.74405,               0.003202,               0.003202,               0.003202
                    105,                0.16412,                0.15631,                0.77883,                0.99838,                0.99458,                 0.9948,                 0.9947,                0.10357,                0.08883,                 0.7439,               0.003136,               0.003136,               0.003136
                    106,                0.16552,                0.15707,                0.77939,                0.99834,                0.99486,                0.99476,                0.99462,                0.10362,                0.08838,                0.74387,                0.00307,                0.00307,                0.00307
                    107,                 0.1633,                0.15504,                0.77943,                0.99808,                0.99514,                0.99474,                 0.9946,                 0.1032,                0.08734,                0.74385,               0.003004,               0.003004,               0.003004
